851	domněnka			
266	dotvrzení			
207	tvrzení			
187	převzatá informace			
150	dotvrzení, zdůraznění			
136	domněnka, tvrzení			
82	domněnka, vysvětlení			
77	souhlas			
76	odhad do budoucnosti			
72	ujištění			
65	předpoklad			
59	zdůraznění			
56	přesvědčení			
48	direktivní předpoklad			
45	shrnutí, navazování			
45	introspekce			
44	spojkový výraz			
42	připouštění			
38	shrnutí			
33	úvaha			
33	navazování			
28	domněnka, pozorování			
26	navazování s kontrastem			
26	míra			
25	žádost o dotvrzení			
25	příklad			
20	žádost o ujištění			
20	axiom			
19	zpochybnění			
18	domněnka, přesvědčení			
17	nesouhlas			
15	sebeujištění			
15	doufání			
15	doporučení, návrh			
14	vysvětlení			
14	údiv			
12	souhlas, přitakání			
11	upřesnění			
10	tvrzení, zdůraznění			
10	souhlas, připouštění			
9	přitakání			
9	afirmace	přitakání		
8	zpochybnění, ironie			
8	nepřímý direktivní předpoklad			
7	topic-shift		přeložila bych to na "změna tématu"	
7	nesouhlas, zpochybnění			
7	domněnka, převzatá informace			
6	otázka			
6	introspekce, úvaha	úvaha, introspekce		
5	úvaha, údiv			
5	příklad, možnost			
5	manipulace			
5	hedging			
4	zavazující introspekce			
4	výhružka			
4	výčitka			
4	úvaha, fabulování			
4	slib			
4	pochybnost			
4	ironie			
4	fabulování			
4	axiom, ironie			
3	příkaz			
3	omluva			
3	obava			
3	námitka			
3	nadšení			
2	silný souhlas			
2	přesvědčování			
2	nadšené přitakání	přitakání	nechala bych jen přitakání (nikde asi moc nereflektujeme emoce kolem, kromě ironie)	
2	nabídka			
2	dotvrzení, navazování			
2	domněnka, dedukce			
1	zdůvodnění			
1	žádost			
1	výzva			
1	vycpávka			
1	urážlivá odpověď	ostrá odpověď		
1	účel, záměr	tvrzení	podle mě je KF dané věty jen prosté "tvrzení"	
1	strukturace	shrnutí		
1	srovnání			
1	souhlas, utvrzení			
1	souhlasná, připouštění	souhlas, připouštění		
1	shrnutí, navázání			
1	připuštění	připouštění		
1	přibližnost	míra		
1	převzatá informace, domněnka	domněnka, převzatá informace		
1	převzatá informace a požadavek	převzatá informace, požadavek		
1	popis		já to nemohu v KF najít, možná něco dělím špatně, je to jen v poznámce ke KF	
1	odseknutí	ostrá odpověď		
1	odmítnutí	ostrá odpověď		
1	odhad	domněnka		
1	obvinění			
1	navázání, sebeoprava			
1	navázaní	navazování		
1	naděje	sebeujištění		
1	modifikace adjektiva	míra		
1	mlžení	připouštění		
1	metaužití	metajazyk		
1	metajazyk			
1	konstatování, možnost	tvrzení, možnost		
1	ironické přitakání			
1	intenzifikace	axiom		
1	domněnka, odhad	domněnka		
1	dedukce, pozorování	domněnka, dedukce		
1	argumentace, vymezení se proti kom. partnerovi	ostrá odpověď		
